,name,titles,rating,comments
568,Rashmi ,Value for money,4.0,
569,A. Vadiraja Rao,BEST SELLER AND BEST PRODUCT,4.0,best product. if you want then you can buy this from darshita electronics. it's a genuine product.
570,Yaswanth S.,perfect product,3.0,The brand is trustworthy and the phone is beautifully design  i like everything in this phone especially the camera is amazing at a price. and display is outstanding.overall an awesome luxurious experience from a luxurious brand
571,Manish Kumar Rathor,I love it I phone 12,1.0,I like it
572,vigneshwaran,Super mobile from Amazon,3.0,Battery life is extraordinarily super backup thanks to amazon
573,Anand,Original,1.0,The product is original! iPhone 12 is litttt
574,chiran singha,Little slow,5.0,Finger print is not their
575,Abhi,Heating issue,5.0,"My only concern is phone heating up while charging and playing even small games. It gets so heated, it becomes uncomfortable to use sometimes."
576,Yaswanth S.,good to go with,3.0,battery is not that great
577,umer khan,Great product,4.0,I did an upgrade from XR to 12 and it’s totally worth it.
578,Mohamed Shafiq K,No Comparison!!,3.0,"Its outstanding. I was using iphone 12 mini. Size wise this is better. This is amazing machine. Camera is great, performance is amazing, display is outstanding. Using iPhone 12 is some thing I never experienced before. This is fantastic device.RatingsSpeed - 5/5Display - 5/5Battery - 5/5Weight - 5/5Camera - 4.5/5You need a proper light for great photo. In low light sometime photo is quite dark but original.If you are new to apple eco system then you are going to experience something great. If you have already used apple devices then it will not disappoint you."
579,SAROJ KUMAR SAHU,Awesome except battery,5.0,Overall good but battery need improvement
580,Integrity Packaging LLP,Very nice camera quality and battery life,5.0,For workingGood
581,Ankit Keshri,Best phone,5.0,Superrbbbb
582,Yaswanth S.,Simply Wow!,3.0,"Been using this for a couple of days now and trust me if you have the budget then just go for it. Battery backup is amazing if you are not a heavy gamer, Fast charging is simply Wow if you uses 20w original apple charger. Rest I hope you all know that's why you are still searching for this product. So in short this is the best phone to grab this year!"
583,Hari,Perfect mobile a bit battery issue.,5.0,Value for money simple easy to use and perfect expect battery apple can improve it a bit so it’s cool
584,Pooja,Superb quality,5.0,I am satisfied with iphone quality
585,Karthik R,Classy product,5.0,Some features are missing into it.
586,Hanumanthu,I prefer the 11 or the 12 mini,5.0,"I have been an apple user for the past 10 years and this is the first phone which is disappointing. I was using the Xr and 11 before this and though of upgrading.1. If you are moving from an android to iPhone for the 1st time, its a great phone to get in terms of camera, processor, screen quality. But if you are already an existing iPhone user, upgrade only from XR downwards. That is if your are upgrading from a 8/X/XS/XR. If you have a 11, stick to it. Wait for the 13 or budget is not a constraint then get the 12 pro.2. form factor. Apple has gone back to rectangle brick design that they used in their earlier phones. Now for me this was one the reasons I didn't like the phone. It wasn't comfortable n the hand after being used to the curve of the X and 11 and XR3. Camera- best camera quality with night mode . u can't go wrong with this camera setup.4. screen- excellent screen quality , no complaints here.5. 5g - IS it really that big a deal breaker ? especially if you are in India where 5g seems a long way off.6. No charging adapter. You either have to connect it to your MacBook or buy a separate power adapter. When ur spending 70 odd grand, that's the least apple could offer.7. again no ear phones.8. It somehow doesn't have the wow factor as what the X had.Update.I exchange my phone for a 12 mini. much more easier to use with one hand and comfortable."
587,Rohan,Decent value for money,5.0,A pretty good phone but quite different from my previous Android... Still getting used to the quirks of iphone
588,Yaswanth S.,Good and worth buying,3.0,Reviewing after using it for few days. It's working nicely just i have a issue with the battery but i think its quite better then previous iphone's else everything is fine and worth buying it 😊😊
589,shashi chaurasiya,An Apple makes the day better !!!❤️,1.0,"I was initially very much afraid to buy apple phone because I never liked ios or apple ecosystem, but when I used this it was just awesome!You cannot compete the smoothness with any other device.My thoughts/ rating:-Camera : Good but selfie cam is not upto the markUI : user friendly and easy once you get to know itPerformance : UnbeatableAudio : Best… its like surround sound system!Fit and finish : The best!If you agree with my views please hit the Like button below ! Thanks!"
590, User,Battery draining out soon,5.0,All good except short battery life
591,Nilu ram,Great phone with not so great battery,5.0,My iPhone 12 working smooth after 2 weeks. It was not an easy transition from android to ios. Lost some data on my WhatsApp. Phone is great but battery life is pathetic
592,Ravi kumar Gaikwad,I phone 12,5.0,"Nice phone, value for money..."
593,Aman kumar,There is no fingerprint reader but the face recognition is very fast and the battery lasts for a day,5.0,There is no fingerprint reader but the face recognition is very fast and the battery lasts for a day
594,Yaswanth S.,Perfect Phone!!!,3.0,"The phone is just awesome. I was using iPhone SE(2016) 4inch screen previous to this.I was a little skeptical about switching to a larger screen phone, but upon using it I am surprised that the phone doesn’t seems that much big. The size is just perfect.No need to comment on other features of the phone. I just love the iOS..so naturally it was going to be iphone for me😀😀"
595,Amazon Customer,best product,1.0,
596,Amazon Customer,Life changing product,5.0,"This is my first iPhone. I have been using android for past few years. The moment I got a hold of this iPhone, it felt totally different. It feels different, looks different. The screen quality, camera, speed, screen everything is beyond words.A little expensive but worth it totally"
597,Pallavi sinha,Super,5.0,Super
598,Dinesh Dorriyal,Worth of product,5.0,Nice product
599,Atom K.,Expensive mobile,4.0,Product is good but on the back side 2white mark those easly visible my advice purchase offline any apple store because store give 5000 less price compare with Amazon and flip kart
600,Yaswanth S.,Preety sleek,3.0,It's overall good phone good battery life than 11  and sleek design love that from 11 so yes no 11 just 12 apple baba
601,Rajat,It’s Awesome ….,5.0,"If you have this phone u don’t need anything else. It’s a dash cam, a camera, a video editor, one of the fastest browsers, excellent display etc.Note: Buy at least a 128 gb variant"
602,Beerendra singh,Display 10/10.  Camera 10/9.  Battery 10/7.,3.0,"No finger print sensor, Mobile get very hot during charging and camera using."
603,Saste m lunga bata re hai,Performance over battery life  !,5.0,"I was an android user from past 5 years mainly I’ve used huawei devices. After shifting to ios, the main thing in felt was fluidity and simplicity of ios, well i liked ios as it’s clean os. Rest thing you know how much great it is. Here comes battery’s backup, the main question of most people. I’ve one word for you all, that it has got *performance over battery. I think its all i can explain"
604,Koushik sethi,I phone 12 it’s amazing,5.0,"                    The media could not be loaded.
                



 It’s a safe purchaseA smooth transition though I lost my data from what’s appColour and features are classyCamera does not lie to you it’s clear and oh my gawd truthfully true"
605,Kaustov H.,Best Value for Money,5.0,I have not faced any issue so far.
606,Yaswanth S.,Due to low battery always be in mind but if you leave that top notch smartphone A14 bionic chip🙌,3.0,So till now what concerns me is only the battery and everything by far is top notch and I was a little hesitating before purchasing it since this was my first interaction with the iOS environment but now I am used to it and works fine. Since I am not a fan of too much customization so for me this UI is totally fine. Plus gaming experience was also good till now I played nfs no limit and it works like a champ. I also really like it's ram working since my app in background keeps running without always reloading it when again opened.One last since I haven't used 120 Hz refresh rate so I can’t tell about it but since my old phone was also no having it so for me it's awesome👌.Camera is also awesome till now I haven't used it much due to covid but in low light it worked too good no doubt about it:).Hope this will help someone😁
607,Asif,Most premium design and display quality,5.0,I have selected black shade. One of the best displays i ever seen on iphone with super light weight and slim design. No matter it feels so much premium on hands and cheese smooth lag free ios experience. Loved it
608,Buyer,On time delivery - original product,1.0,Phone is Working as expected.
609,Jubairrehaman,GOOD ONE,5.0,GOOD ONE
610,gaurav,All good after all its iphone,4.0,Ontime delivery nice experience
611,Rohit Shrivastava,Battery life,5.0,Everything is perfect awesome. But very disappointed in battery life. It stands less than a day. Even I'm not using more data in this phone. No social networking.Waiting for update version.
612,Yaswanth S.,100% satisfied with i phone 12,3.0,First time buy IOS phone and i am 100% satisfied with this I phone 12. Great camera and everything is amazing i give 10 out of 10. Thanks Apple.
613,Debrath Mukhopadhyay,Best and the most premium phone ever used,5.0,The phone is amazing the size is good compared to normal 4.7 inch but if u wanna buy it then surely go for 128 gb otherwise 64 would be full under few daysThe battery life is amazingThe display is good too it’s oledAnd those security conscious people the Face ID is very secured it’s lightning fast and quickThanksBest phone ever
614,Subham shaw,Power packed,5.0,This is just an amazing phone
615,HARIPRAKASH,Butter smooth & Superb camera.,5.0,"A bit pricey compared to Android but worth every penny. Main camera s superb , wide camera is good. Best low light photography experience."
616,Blesson Baby,low battery life,5.0,"I mean everything is good until u know that the battery life is only 2815mAh. that's worst than iphone XS and my ROG phone have 6000mAh, but still better than iphone 11. Also once it so happened that it face recognised both me and my friend : ). but than it was normal again once i re-faced my recognition. overall its good go for it."
617,RAHUL,waste of money,5.0,"hype for what?? just the logo? showoffs!!normal camera, performance, etc. face recognition doesn’t work on landscape mode unlike my oneplus. i find oneplus is far way better than this waste of money. dimlight photography is worse."
618,Yaswanth S.,product not good,3.0,Deliver product not good - scratch back side penal refund request sent but not any complent or reply 😔😔
619,Rashmi Mathur,Review of iPhone and Amazon,5.0,Wife gifted me this phone and it is very amazing phone and feel of premium you get only when you hold it in hand and use it 10/10 rating for this iPhone 12 product and Amazon delivery was late 3 days somehow because of Holi holiday but that’s ok finally got my first iPhone and entered in ios from android
620,Sourabh sardar,iPhone 12 review,5.0,"Honestly if you have a XR, you don’t need to go for this unless you are a core fan of video games. For a normal user, any Apple phone above 6 is still a good bet. No need to spend money unnecessary.One thing I liked in this model is the new phone set up by keeping old phone near. It was awesome simple."
621,Rajesh,Iphone 12 spr mobile mind blowing 😍,3.0,Camera 📷 was super experience decent battery life i am satisfied this mobile🥰
622,Amazon Customer,Value for money,5.0,Great phone
623,moazzam sameer,AWOSMMM MOBILE,5.0,Ek number ka phone
624,Yaswanth S.,Just Amazed with the display and quality,3.0,"New Apple iphone 12 is too amazing. I have switched from android (Oneplus 6T) to iPhone.Below are my reviews after using for 3 days.Pros: Amazing look, feel, display, very smooth touch and face recognition is ‘the best’. Lot of new features in camera like studio light, night mode etc.Just 2 cons: Little small in size as compared to oneplus 6T and battery life is upto my expectation.If anyone really want to switch to iphone, this is a great deal(P.S. got 14% discount)#happycustomer"
625,APEXESCE,Superb!,5.0,This is amazing.
626,Sonu Sher,Great..,5.0,The performance is amazing. Potrait mode could have been better only If there was a telephoto camera instead of ultra wide. But I am ok with the ultra wide. Many complain the battery life is not good but for me I am able do last one whole day with single charge. Surely it depends upon person to person usage. Overall i am really happy with this mobile.
627,MANDEEP SINGH,Ek no,5.0,Superb qulity camra
628,Jabrisoud,Iphone - the one who does not need any introduction,1.0,There are no flaws in the device. Everything works as expected.
629,Shobhit Kumar,Nice phone,4.0,"Nice camera , display , touch feel....Battery life needs to be improved ..Phone gets heated while charging.No in display finger unlock, notch is big but face I'd is very quick.Overall good fon at this offer...use and Njy..."
630,Yaswanth S.,Nice,3.0,Good
631,Manish,Good but lot of money,5.0,Bought it 2months ago. Mobile is satisfactory but after buying it u will feel like “why did i put (waste) so munch money ( 61k) on this iphone”.  If u don’t gonna feel like tht after buying. Then u can go with iphone
632,Rajesh Chauhan,Worthy♥️,5.0,"I have been using Iphone12 since Feb & believe me it worths every single penny.. Camera, battery life, design everything is perfect for me..I have attached some of the photo sample which I took..It’s really satisfying!!!!"
633,D K Duttatrey,Super phone,4.0,"Worth mobile. Best build quality , better screen, and it's much handy compare to iPhone 11 and XR.Battery 4/5Camera 4.5/5Function 5/5"
634,Stephen Dhilip Sundar R,The best,5.0,Nice
635,yash Sharma,Best😍❤️,4.0,The product is best.
636,Yaswanth S.,Not that satisfied as it is projected.,3.0,Didn't like the selfie camera. And there is no finger print reader. Face recognition sometimes doesn't respond .
637,Vinay Reddy,Fabulous products,5.0,I am satisfied by amazon amazing products
638,Harsh sharma,The BOSS Phone..!!! iPhone 12 truly a masterpiece from Apple.,5.0,"I am writing this review after using my iPhone 12 for three weeks and I must say the decision I took to switch from android(I have been an android user for the last 8years xD xD) to iOS has been incredible. The experience is commendable, iPhone 12 is the best phone in the market as of now.  I haven’t faced any battery issue or any heating issues as I have seen other reviews complaining the battery and heating of the iPhone. Attached are a few sample shots I took from my iPhone to show that the Apple’s camera quality is unmatched and surreal.  The Face unlock is great, the battery’s pretty good, camera’s excellent….overalls my whole transition from android to iOS has been great. Go for this phone guysss…. It’s the best in the segment with some mind blowing iOS features. P.S. Just got updated to iOS 14.6 😊😊😊"
639,Kuldip,Good,5.0,Really awesome! Worthy
640,kunwar akhilesh,Works wow😻,4.0,Can trust amazon with no doubts for an iphone…no issues found in packaging…iphone looks and used best as always😻
641,SUHEL AHMED,There was no socket for charging and other apple socket is not maching,5.0,
642,Yaswanth S.,It's good but not value for the money,3.0,Hmm
643,himanshu,Wonderful piece of hardware,1.0,"This the best iPhone currently in the market imo.Crisp navigation, very nice battery-life, Excellent camera even amazing videography with Dolby HD technology. The face ID works like magic.Apple went above and beyond with this phone.The best part? I got almost 30000 INR discount on republic day sale and by availing exchange offer, so got the 128 GB variation for 52000 INR!!!! WORTH IT!!!!!!!!!"
644,Bhan Infrastructure Holding & Leasing Company,Battery life is little disappointed,4.0,Battery is little disappointed everything is good expect battery life
645,mohit,I like camera,2.0,Superb phone. I like iphone brand because I have feel royalty. One of the most branded phone in the world. Thank you Amazon.
646,Dhiren Jain,What a Phone. Its iPhone,4.0,"Its my First Apple device. Happy to own it after a long confusion between iPhone 11 and 12. I believe, it was worth waiting for 12.Received it on 04-Nov-2020. Working well till now. Checked Service Support Coverage. Its a genuine product.AndiPhone in white color is legend.Update after 1 month approx.-----------------------------------After using it for a month I am in love with this phone. Too smooth and I forgot what is lagging...Battery backup is very good and lasts one and half day easily with normal usage. I charge my phone when the battery is around 30%. Battery health is 100% after a month.Camera is awesome and gives very nicely detailed pictures with true colors.Phone speakers are really great and warm. They are loud but don't shout. Listening music or watching videos are enjoyable without earphones too.4G speed better than other 4g phones I have.Worth every penny."
647,Nishat,Good,3.0,Good
648,Yaswanth S.,Phone that never ends,3.0,
649,M L Meena,Looking good,5.0,Still looking good
650,Srinu,heating issue,5.0,"overall a good product with some drawbacks of iOS, device gets heated even if there are gaming apps or high processing apps are run"
651,Amazon Customer,Super and beautiful pictures 🤩,5.0,"                    The media could not be loaded.
                



 Nice porfamess"
652,Kamlesh kumar pathak,"Nice, Awesome phone I loves to using this❤",5.0,"                    The media could not be loaded.
                



 Awesome about IPhone 12 are camera, face recognition, easy to carry., just size is little small. Other wise I love ❤this. Just first day for more  I have to use this for minimum a month."
653,Amit,I want change my iPhone 12 but amazon not charging my phone,1.0,I want change my iPhone because phone is defective but Amazon not charging my phoneFrom now days I’m not shopping any things from amazon
654,Yaswanth S.,Iphone12,3.0,Face recognition sometimes not working.. Didn’t received adapter in iPhone box
655,Sourav chakraborty,FaceID is fabulous,5.0,"                    The media could not be loaded.
                



 Good packaging and received genuine product,As of now faceID is working fabulous.Battery life so far normal.IOS 15 update is available"
656,Guru ojha,I rated is 5 star,5.0,I do not think that iPhone requires any review. This is awesome product which always gets 5 stars
657,RAKESH,"Cute, compact and handy",4.0,Bought this mobile after lots of confusion… but this one works like a charm and fits my profile… neat and definitely decent looking phone…
658,BHARADWAJ,Excellent,5.0,Nice
659,Ranjana,Best phone,5.0,Phone is best but some of the features could be easily availabla
660,Yaswanth S.,Excellent,3.0,Excellent
661,Apoorv,Genuine product from Apple,4.0,"It’s seems to be cool and genuine product from Apple. It has a lots of features in iPhone 12 no doubt at all. Overall so good. Delivery guys also very polite and cool guy. No tampered out. Sealed piece, and no scratches.Thanks"
662,Anuj Dhama,Amazed by Amazon. Satisfied by the product and its packing'sng,5.0,"                    The media could not be loaded.
                "
663,Prakash chandra Kumawat,A little disappointed about battery life else everything is awesome.,4.0,All features and speed of the apps are amazing on iPhone just a little more battery life could make the user happier.
664,Niraj kjmar,Poor Battery performance & Charging time.,5.0,Battery performance is very Bad. And charging time is also more than i expected 1.45 hrs approx 2 hours.
665,Anusha,Worst battery performance,5.0,Battery is extremely poor
666,Yaswanth S.,Amazing battery,3.0,"iPhone 12 is super fast, sleek, has got great display, and excellent battery."
667,Madan,It’s Apple it doesn’t need any review,5.0,"It is working perfect as it should be, offline stores scare too much to customers who want to buy online by saying several things, when you ask them for discount which we get here at Amazon or any other online platforms, I was a bit confused too for ordering online. but all goes perfect, timely delivery, good discount. Thanks Amazon."
668,Ramesh,A14 Bionic. The beast in all segments,3.0,"I have been using iPhone 12 from past 20days. Overall a great phone with best battery life, best camera and great display. The most important thing about this phone is the performance. It’s top notch. A14 Bionic chip which is 5mm SOC with 5G modem delivers a greater performance without any lag. With few latest iOS updates(14.7.1) and few changes in configuration/settings I get a battery life for 2 days per charge(96%). Overall a beast in all segments including the price.For the price apple should have provided a charging brick and earphones, but they have not. Currently Amazon is selling this phone for 73k which is the best deal. Go for it."
669,Amazon Customer,Review after one month use,5.0,"                    The media could not be loaded.
                



 Bought 128 version @62k, it’s awesome. Looks and performance is best.Camera average when u compare with oneplusScreen sensitivity average I had to touch 2/3 timesMobile heating while chargingLook wise goodSpeed is also good"
670,prakash kumar sinha,"If you can afford it, buy it !",5.0,Best phone I have had till date !
671,Shivam rathore,Package was worst!,5.0,"Bought phone for 60000, but the package looks like I bought some cheap product!Worst packaging."
672,Yaswanth S.,Best phone😍,3.0,Great product.Finally sold my kidney to buy this.Totally worth it.
673,Kindle Customer,The best phone ever i have used in my life,1.0,
674,Somajit Deb,Amazing,5.0,Everything in this phone is gud but battery life is not that of much great
675,kundan kumar,Worst experience from Apple/Amazoy,5.0,I got dead pixel/black spot issue on screen on first day and contacted Amazon to replace it. But they told to contact Apple. Amazon was not ready for replacement and I need to change the screen of 2 days old phone. Very bad experience. Don't buy iPhone from Amazon.
676,KIRAN KUMAR P,Genuine product thanks a lot amazon I purchase this device 20 jan 2022 work fine,5.0,Best one
677,Rishi,Face I'd,5.0,Everything is good in this 12 series except that face I'd....face I'd doest work properly while wearing mask😶
678,Yaswanth S.,Outstanding,3.0,The phone is awesome. Seamless browsing. I canceled the first order with the seller because it was being delivered too late. The second order was in a deal wherein the delivery was next day. Seems weird but so is life. Phew..
679,Ishan seth,Great until you see someone with 13.,5.0,Great phone.If you’re buying iPhone for first time or upgrading after long time go for 13 as Apple has increased battery and improved screen durability in it.Otherwise I can’t feel much of a difference.
680,Adesh Chauhan,Wonderful phone,5.0,"Apart from the cost, the phone is fantasticTip for those who are shifting from androidThe WhatsApp message history is not migrated unless you pay good amount to some third party software and that too is not guaranteed"
681,abdulgaffar,Match to my personality,5.0,An apple a pocket keep all the problems away
682,Ranjith,Awesome feel,5.0,I just cannot express in words that how’s I am feeling after buying these IPhone. Literally amazing touch and camera. Everything is working fine as expected. I switched from iPhone 7 to iPhone 12 now. Looks like my decision to buy these phone was correct. Thanks Amazon and the seller. I liked the packaging as well.
683,Gaurang,Screen and siri,5.0,In single word awesomeness
684,Yaswanth S.,Iphone 12 😇But Price is very High,3.0,"                    The media could not be loaded.
                "
685,Amazon Customer,Feature loaded mobile with excellent quality camera,5.0,Feature loaded mobile with excellent quality camera
686,Sudipto,💯💯💯,5.0,
687,@optimus,It's great phone,5.0,Like so much happy 😁😊😊😊
688,Nisha wani,Quality is a good deal,5.0,Best phone than 13
689,Prof Dhillon,It worked for me.,5.0,"Although I still believe, people are scammed. This was my first ever iPhone, and I took a risk to buy it from Amazon, as there was a huge discount in sale. I was very afraid, and video captured complete unboxing with all EMEI numbers etc. At the end, I got completely genuine and working new product. Thanks Amazon !!"
690,Yaswanth S.,Wow mobile but small heat issue,3.0,Wonderful mobile having some warm heat while using camera and low battery condition
691,GAGAN NAIB,Why should I like iPhone 12,5.0,"I liked the product. Fingerprint reader should have been there for easy,safe and quick operation. I am not so sure about the face recognition.Atleast the screen guard and charger must have been provided."
692,User,Best for given price,5.0,Worth itJust go for it 👍🏼
693,NAVJIt singh,Android to iPhone switch,5.0,"Hopefully this will be my first and last iphone as I am not accustomed with IOS environment. Previously i used S9 and really that was a gem.Premium Android users will never love this IOS, and hopefully someday I will get back to my android.Overall the phone is good, one of the best in the market. Hopefully I have 4 years to fall in love for this one 😇"
694,taher a.,Go for oneplus i think,5.0,Only camera is positive point
695,Amazon Customer,It’s an iPhone!,5.0,"Upgraded from an XR. Key points -a. Way more lighterb. Better screen resolutionc. Slightly better performance (not noticeable to the regular user though)d. Better camera and picturesWhat could’ve been better -a. Battery life - OLED doesn’t make too much of a difference to battery life. I’m getting the same one and a half days on itb. Outer Shell - the body is a fingerprint magnetc. Charging - wireless charging is slower. Wired charging, with a proper adapter is fasterTo sum it up. If you’re already a part of the beautiful Apple ecosystem or if you’re thinking of being a part of it, this is a great phone to pick up. Go for it!"
696,Yaswanth S.,Beasttt🔥,3.0,Beast🔥Excellent performance😎
697,venkateswarlu,Amazing product,4.0,Amazing product
698,abdul samad advocate,My first iphone,5.0,"Buying an iphone was a dream for me . This is my first ios device , The most i liked about this iphone is the inhand feel light weight,compact boxy design helps easy to hold the fone. When i was planned to switch from android to ios most of my frds told that battery life is a minus in iphones, but frankly i tell that the battery life effortlessly lasts for one complete day.Camera, display,sounds are awsome. The main attractive of this device is its permformance, no lag , best optimised software and gaming is simply awesome."
699,Tanveer,Superb phone no issues,5.0,First of all amazon delivered the phone safely taken the video of the unboxing also which was quite a surprise.Negative comments was another concern but sometimes it happens but End of the day phone is superb no issues at tall till date.
700,Jaleel Hasfar,My Review,5.0,awesome product...just loved itawesome product...just loved itawesome product...just loved itawesome product...just loved itawesome product...just loved it
701,Naveen,Do not buy iPhone from amazon at all,5.0,"Do  not buy iphone from amazon at all, I dont what kind of iphone i have been handed over .. its not even three months and i am facing lot of issue .. my phone wont turn onAmazon i want my refund on this if you are reading or get me another iphoneDo not buy iPhone from amazon at all, I don't what kind of iPhone i have been handed over .. its not even three months and i am facing lot of issue .. my phone wont turn on i am so upset and low while i am writing this..i feel like destroying this vendor shop and making his life miserable like mine when i am writing this..I cant do any thing..my office is stuck my life is hung on middle this is so frustrating..i wish Apple do not prosper any more and shut down all its business i put my months saving on this phone and this is what i am getting, if someone is reading this please help me ..I cant call anyone . i don't have another phone .. i cant call apple support i don't even know if i have got a genuine product or not..look at the amazon game on this they want me to write a headline of 100 words ..what kind of stupidity is this? i don't understand what to do not sure what i am gonna do but clearly this is fault of amazon for having such vendors for such premium products and apple is 60 percent responsible to handing out such devices."
702,Yaswanth S.,nce,3.0,bice
703,Shubh,"Awesome value for money, specially after recent price drop.",5.0,"Excellent value for money, and great peace of mind. Better investment than any android flagship you can get for the money."
704,Veeru gupta,Best phone for IOS user.,5.0,
705,Bhupendra Verma,A good all-rounder,5.0,"This is my first iPhone. Great performance, excellent standby battery drain. I mostly use it only for social media and occasional gaming and the phone lasts a bit more than one day for me. But the latest iOS 14.6 update has decreased the screen on time from 10-11 hours to 8-9 hours. Hoping Apple fixes this in the iOS 14.7 update."
706,Mr. Ejaz,Good Product,5.0,Iphone 6 To iphone 12 my Second iphone this oneBattery Life is goodFace recognition Is Wonderful within second Recognise FaceAll in one Is Iphone 12 Is Good
707,Tuhin Subhra Dey,Worth in 2022,5.0,Good
708,Yaswanth S.,worthy product for new technology lovers,3.0,A good phone to buy.
709,Timothy,"First iphone? Don’t think, just buy!",4.0,"Its my first iPhone and I couldn’t be any happier, the experience and privacy features you get with an apple product is top class. The smooth in he OS itself is ✨I didnt use the camera much, but that works well too."
710,Subbu,Best Flagship Smartphone,4.0,Best Flagship Smartphone In the Segment !
711,prakash pradhan,Makkhan,5.0,Light weight handy smoothness fully swaad phone
712,Laveena Fernandes,Brilliant product by Apple,5.0,"Smooth functioning and brilliant color. I had put back cover for protection but it is a masterpiece. Blue colour is awesome. Battery life is one day including video watching, net surfing, playing games etc. Face recognition is instant, I sometimes in doubt that either I had locked the phone or not."
713,Sivabalan,Defective product.How can a seller send a product like this. Overall a very bad experience.,2.0,Service is worst but the brand is good
714,Yaswanth S.,Good camera and video was wonderful,3.0,"Hey guys,Its my honest review aftr 1 month use really awesome product thanks to amazon for wonderful product and worthy,I was too scared to purchase this kind of high rate mobile on online bt thank now am feeling trustworthy"
715,Prashant Moily,Best cameras iphone 12,5.0,Very good product's I am totally satisfied this range of iphone 12 camera are so awesome most of the features are very smooth open I love it and thanks to amazon for fast deliveryI really Apriciated this products
716,Balaji,A better one,5.0,Don't go for it if you really want longer battery
717,prashanth,Phone itself,5.0,
718,Mohamed Asarudeen,King of Phones,5.0,"there is nothing better than iphones in phones, iphone 12 has everything you need in a phone plus the experience you'll not get in any other phone."
719,bharath prabhu,Excellent,4.0,Like
720,Yaswanth S.,Loving it,3.0,Battery life is really good more than what I expected.It’s been a month I am using it now and have multiple apps installed.Really very smooth. Camera quality is also good but not zoom is one of the feature that it lags when compared with competitors.
721,sidhesh.kumtekar,VFM,3.0,Nice phone to upgrade from Andriod to ios in 2022.
722,Legendary,"Honestly, not worth it",5.0,"I think many of us rate iphone high only to convince ourselves that we haven’t been as foolish to buy a phone with so high priced. The phone is a gesture hell. Do not ever give it to a senior citizen, they deserve one more sensitive. The simplicity of back button in android here is played by  oversmartness of gestures and contextual back button which at times gets lost. Intuitive keyboard is nowhere near swiftkey in android. Even physical design is poorly thought, the volume up button is bang opposite power button making one accidentally press both to take an unwarranted screen shot. Battery life is as good or bad as any standard phone. Ever since i switched over to iphone, life is worse. Great hardware and system,poor arrogant design"
723,KAPIL KUMAR NAGWANSHI,The best phone till date♥️,4.0,"Guys let me tell you, I was a huge fan of androids and I literally never thought of buying an iphone, but then thought of giving it a try🥺🥺🥺and you couldn’t believe how much i mean to what extent i like this phone. This is a perfect phone ever with awesome battery life (I use it very much still one and half day chal jata he) speed is mind blowing and camera just wowwww!!! No need of buying fancy iphone 12 pro max this is more than enough yaar😍😍You will never ever regret buying thisReviewing after a use of 2 months"
724,Krishnan,Very Good IPhone smart to access everything,5.0,"iPhone Brand very Good Phone to buy easy to access everything in finger prints, battery life also Good to go & Camera etc everything Fine."
725,Shivu,Security Features and Smoothness No one can match. Just if the battery backup is high.,3.0,Just awesome 😎 No other words can describe the same. APPLE IS APPLE no one can beat the product. Security Features and Smoothness No one can match … Just if the battery backup is high then it’s just incomparable to any phones.
726,Yaswanth S.,Full paisa wasool,3.0,I like it
727,Akanksha Rewatkar,iPhone 12 review,5.0,Awesome product
728,Pallavi Katyal,Great looking phone with outstanding features,1.0,"Premium looks, smooth user interface, outstanding camera quality, top class screen, great sound quality from stereo speakers. Instant face detection and unlocking. No finger print sensor (not required as face detection does the job instantly). No 3.5 mm port for headphones, requires airpods or bluetooth headset. Excellent noise cancellation. Double sim (nano+esim). Easy to switch from Android with inbuilt feature to transfer all the data."
729,Kumar,"Awesome phone, smoothest lightning speed. Great camera and retina scan sensor works smoothly as well",1.0,"The screen quality is good :- Compared to my Galaxy A50, the screen quality of iPhone is betterCamera is superrr:- No camera is best than iPhone, the camera is better than iPhone 11Face ID is great :- calls get low tuned just when you look at the screen even without touching the phone as in phone understands that you've looked at the screen (shows a good example of Retina scan)Battery :-  is a bit issue as it drains fastApart from battery, the phone is AWESOMESecure and fast"
730,Meenakshi Meena,Apple iphone 12 is the best flagship phone .,1.0,Bought this phone after along comparison with S21 plus.why i bought Iphone 12 -1. 6'1 inch screen is good compare to foot long 6.7 flagship now days.2. display quality is superb.3. got on a discounted rate.4. working on Apple eco system as i already have i pad mini for gaming and multi media purpose.5. look classy.6. light weight.7. Impressive screen on time.battery life is impressive didnt expect it to last this long . easy work for 2 days.although its bit expensive console yourself for getting good re sale value compare to android when it get old.
731,Ghanshyam Mukati,Worth it every penny,4.0,"Even with the iPhone 13 offering more speed, slightly better cameras and longer battery life, the iPhone 12 is still among the best phones you can buy overall."
732,Yaswanth S.,It’s an Apple,3.0,I bought an Apple iPhone 12 128 gb. The phone was delivered on time and in mint condition. Very impressed by both Amazon and the seller. Well done to both of you. The phone is extremely easy and smooth to use. It’s fast and it runs on the latest ios software.
733,Mansi,Battery backup was so poor.,4.0,Battery backup was so poor.
734,rahul roy,My first IPhone,4.0,"This is my first iphone and I am having the best experience sp far with it. The oled display is the smoothest of all, amazing camera even for night lights its perfect. Totally satisfied with the experience.Amazon delivered the phone one day late and it was a slight disappointment."
735,Noor Fathima,Heating while charging,1.0,Other than that everything is 👍.
736,virendrasingh R.,Iphone12,1.0,I bought this phone 10 days ago and its heating up on charging since then
